dt,user_pseudo_id,event_name,category,continent,country,region,medium,source
2023-08-03 12:30:49.000000 UTC,70111781.17,Q5-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:04.000000 UTC,70111781.17,Q6-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:16.000000 UTC,70111781.17,Q7-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:24.000000 UTC,70111781.17,Q8-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:24.000000 UTC,70111781.17,Q9-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:28.000000 UTC,70111781.17,Q10-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:29.000000 UTC,70111781.17,result_1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:29.000000 UTC,70111781.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:38.000000 UTC,70111781.17,60 % Scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:42.000000 UTC,70111781.17,90 % Scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:44.000000 UTC,70111781.17,kakao_share_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:44.000000 UTC,70111781.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:31:46.000000 UTC,70111781.17,result_share_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-07-31 16:01:10.000000 UTC,70159200.17,first_visit,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:10.000000 UTC,70159200.17,session_start,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:10.000000 UTC,70159200.17,page_view,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:11.000000 UTC,70159200.17,start_bnt,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:11.000000 UTC,70159200.17,scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:16.000000 UTC,70159200.17,page_view,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:20.000000 UTC,70159200.17,scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:25.000000 UTC,70159200.17,Q1-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:32.000000 UTC,70159200.17,Q2-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:40.000000 UTC,70159200.17,Q3-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:40.000000 UTC,70159200.17,Q4-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:47.000000 UTC,70159200.17,Q5-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:47.000000 UTC,70159200.17,Q6-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:53.000000 UTC,70159200.17,Q7-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:01:53.000000 UTC,70159200.17,Q8-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
